BookUrl,NumberOfTweets,Readers,Language,AuthorUrl
https://leanpub.com/hackerways,,,English,https://leanpub.com/u/juanre
https://leanpub.com/Samycreek,,2,Lingua del libro: italiana,https://leanpub.com/u/demetriobattaglia
https://leanpub.com/fromtheabyss,,,English,https://leanpub.com/u/raynethomas
https://leanpub.com/writing-sublime-plugins,,303,English,https://leanpub.com/u/joshearl
https://leanpub.com/maroka,,15,Latvian,https://leanpub.com/u/normis
https://leanpub.com/makingtheshrimp,,55,English,https://leanpub.com/u/romilly
https://leanpub.com/referencia-electrocardiografia,,,El idioma del libro: Español,https://leanpub.com/u/rbchv
https://leanpub.com/gettingvalueoutofagileretrospectives_NL,,,Taal van het boek: Nederlands,https://leanpub.com/u/lmsgoncalves,https://leanpub.com/u/benlinders
https://leanpub.com/purgatoire,,6,Langue du livre : français,https://leanpub.com/u/sucredecendres
https://leanpub.com/meditating-marines,,,English,https://leanpub.com/u/jimkitzmiller
https://leanpub.com/the-inner-goddess,,3,English,https://leanpub.com/u/rosapjli
https://leanpub.com/itext_pdfabc,,8732,English,https://leanpub.com/u/itextsoftware
https://leanpub.com/codebright-es,,179,El idioma del libro: Español,https://leanpub.com/u/daylerees,https://leanpub.com/u/alaguna
https://leanpub.com/eldritchfairytales,,44,English,https://leanpub.com/u/garycxjk
https://leanpub.com/Solving_business_decision_problems,,,English,https://leanpub.com/u/stephenpeplow
https://leanpub.com/GoNotebook,,181,English,https://leanpub.com/u/feyeleanor
https://leanpub.com/ansible-for-aws,,26,English,https://leanpub.com/u/yankurniawan
https://leanpub.com/plaidmanual,,,English,https://leanpub.com/u/dronte,https://leanpub.com/u/Level
https://leanpub.com/recipes-with-angular-js,,1109,English,https://leanpub.com/u/fdietz
https://leanpub.com/wikisforenterprises,,,English,https://leanpub.com/u/floriankromer
https://leanpub.com/noiseofcreation,,84,English,https://leanpub.com/u/joelalexander
https://leanpub.com/problemywagile,,397,Polish,https://leanpub.com/u/streser
https://leanpub.com/html5shootemupinanafternoon,,,English,https://leanpub.com/u/bryanbibat
https://leanpub.com/leaflet-tips-and-tricks,,1823,English,https://leanpub.com/u/d3noob
https://leanpub.com/guiarapidofirefoxos,,3026,Idioma do Livro: Português English,https://leanpub.com/u/andregarzia
https://leanpub.com/20things,,1112,English,https://leanpub.com/u/dubber
https://leanpub.com/thebridge,,,English,https://leanpub.com/u/daveking
https://leanpub.com/8000holes,,158,English,https://leanpub.com/u/paulbradshaw,https://leanpub.com/u/carolmiers
